"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"18/03/2025 00:00:00 - 18/03/2025 00:15:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:00:00 - 18/03/2025 00:15:00","BZN|DE-LU","Sequence 2","111.9","",""
"18/03/2025 00:15:00 - 18/03/2025 00:30:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:15:00 - 18/03/2025 00:30:00","BZN|DE-LU","Sequence 2","108.4","",""
"18/03/2025 00:30:00 - 18/03/2025 00:45:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:30:00 - 18/03/2025 00:45:00","BZN|DE-LU","Sequence 2","87.7","",""
"18/03/2025 00:45:00 - 18/03/2025 01:00:00","BZN|DE-LU","Sequence 1","92.2","",""
"18/03/2025 00:45:00 - 18/03/2025 01:00:00","BZN|DE-LU","Sequence 2","79.8","",""
"18/03/2025 01:00:00 - 18/03/2025 01:15:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:00:00 - 18/03/2025 01:15:00","BZN|DE-LU","Sequence 2","107.41","",""
"18/03/2025 01:15:00 - 18/03/2025 01:30:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:15:00 - 18/03/2025 01:30:00","BZN|DE-LU","Sequence 2","90.0","",""
"18/03/2025 01:30:00 - 18/03/2025 01:45:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:30:00 - 18/03/2025 01:45:00","BZN|DE-LU","Sequence 2","97.6","",""
"18/03/2025 01:45:00 - 18/03/2025 02:00:00","BZN|DE-LU","Sequence 1","89.99","",""
"18/03/2025 01:45:00 - 18/03/2025 02:00:00","BZN|DE-LU","Sequence 2","93.0","",""
"18/03/2025 02:00:00 - 18/03/2025 02:15:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:00:00 - 18/03/2025 02:15:00","BZN|DE-LU","Sequence 2","102.8","",""
"18/03/2025 02:15:00 - 18/03/2025 02:30:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:15:00 - 18/03/2025 02:30:00","BZN|DE-LU","Sequence 2","96.7","",""
"18/03/2025 02:30:00 - 18/03/2025 02:45:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:30:00 - 18/03/2025 02:45:00","BZN|DE-LU","Sequence 2","94.6","",""
"18/03/2025 02:45:00 - 18/03/2025 03:00:00","BZN|DE-LU","Sequence 1","92.37","",""
"18/03/2025 02:45:00 - 18/03/2025 03:00:00","BZN|DE-LU","Sequence 2","83.39","",""
"18/03/2025 03:00:00 - 18/03/2025 03:15:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:00:00 - 18/03/2025 03:15:00","BZN|DE-LU","Sequence 2","97.3","",""
"18/03/2025 03:15:00 - 18/03/2025 03:30:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:15:00 - 18/03/2025 03:30:00","BZN|DE-LU","Sequence 2","96.0","",""
"18/03/2025 03:30:00 - 18/03/2025 03:45:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:30:00 - 18/03/2025 03:45:00","BZN|DE-LU","Sequence 2","97.1","",""
"18/03/2025 03:45:00 - 18/03/2025 04:00:00","BZN|DE-LU","Sequence 1","89.2","",""
"18/03/2025 03:45:00 - 18/03/2025 04:00:00","BZN|DE-LU","Sequence 2","98.3","",""
"18/03/2025 04:00:00 - 18/03/2025 04:15:00","BZN|DE-LU","Sequence 1","95.25","",""
"18/03/2025 04:00:00 - 18/03/2025 04:15:00","BZN|DE-LU","Sequence 2","94.1","",""
"18/03/2025 04:15:00 - 18/03/2025 04:30:00","BZN|DE-LU","Sequence 1","95.25","",""
"18/03/2025 04:15:00 - 18/03/2025 04:30:00","BZN|DE-LU","Sequence 2","97.1","",""
"18/03/2025 04:30:00 - 18/03/2025 04:45:00","BZN|DE-LU","Sequence 1","95.25","",""
"18/03/2025 04:30:00 - 18/03/2025 04:45:00","BZN|DE-LU","Sequence 2","100.7","",""
"18/03/2025 04:45:00 - 18/03/2025 05:00:00","BZN|DE-LU","Sequence 1","95.25","",""
"18/03/2025 04:45:00 - 18/03/2025 05:00:00","BZN|DE-LU","Sequence 2","111.2","",""
"18/03/2025 05:00:00 - 18/03/2025 05:15:00","BZN|DE-LU","Sequence 1","110.74","",""
"18/03/2025 05:00:00 - 18/03/2025 05:15:00","BZN|DE-LU","Sequence 2","97.73","",""
"18/03/2025 05:15:00 - 18/03/2025 05:30:00","BZN|DE-LU","Sequence 1","110.74","",""
"18/03/2025 05:15:00 - 18/03/2025 05:30:00","BZN|DE-LU","Sequence 2","98.2","",""
"18/03/2025 05:30:00 - 18/03/2025 05:45:00","BZN|DE-LU","Sequence 1","110.74","",""
"18/03/2025 05:30:00 - 18/03/2025 05:45:00","BZN|DE-LU","Sequence 2","112.3","",""
"18/03/2025 05:45:00 - 18/03/2025 06:00:00","BZN|DE-LU","Sequence 1","110.74","",""
"18/03/2025 05:45:00 - 18/03/2025 06:00:00","BZN|DE-LU","Sequence 2","128.6","",""
"18/03/2025 06:00:00 - 18/03/2025 06:15:00","BZN|DE-LU","Sequence 1","138.9","",""
"18/03/2025 06:00:00 - 18/03/2025 06:15:00","BZN|DE-LU","Sequence 2","106.59","",""
"18/03/2025 06:15:00 - 18/03/2025 06:30:00","BZN|DE-LU","Sequence 1","138.9","",""
"18/03/2025 06:15:00 - 18/03/2025 06:30:00","BZN|DE-LU","Sequence 2","139.91","",""
"18/03/2025 06:30:00 - 18/03/2025 06:45:00","BZN|DE-LU","Sequence 1","138.9","",""
"18/03/2025 06:30:00 - 18/03/2025 06:45:00","BZN|DE-LU","Sequence 2","149.93","",""
"18/03/2025 06:45:00 - 18/03/2025 07:00:00","BZN|DE-LU","Sequence 1","138.9","",""
"18/03/2025 06:45:00 - 18/03/2025 07:00:00","BZN|DE-LU","Sequence 2","159.96","",""
"18/03/2025 07:00:00 - 18/03/2025 07:15:00","BZN|DE-LU","Sequence 1","136.68","",""
"18/03/2025 07:00:00 - 18/03/2025 07:15:00","BZN|DE-LU","Sequence 2","174.93","",""
"18/03/2025 07:15:00 - 18/03/2025 07:30:00","BZN|DE-LU","Sequence 1","136.68","",""
"18/03/2025 07:15:00 - 18/03/2025 07:30:00","BZN|DE-LU","Sequence 2","154.91","",""
"18/03/2025 07:30:00 - 18/03/2025 07:45:00","BZN|DE-LU","Sequence 1","136.68","",""
"18/03/2025 07:30:00 - 18/03/2025 07:45:00","BZN|DE-LU","Sequence 2","132.46","",""
"18/03/2025 07:45:00 - 18/03/2025 08:00:00","BZN|DE-LU","Sequence 1","136.68","",""
"18/03/2025 07:45:00 - 18/03/2025 08:00:00","BZN|DE-LU","Sequence 2","86.9","",""
"18/03/2025 08:00:00 - 18/03/2025 08:15:00","BZN|DE-LU","Sequence 1","106.52","",""
"18/03/2025 08:00:00 - 18/03/2025 08:15:00","BZN|DE-LU","Sequence 2","160.0","",""
"18/03/2025 08:15:00 - 18/03/2025 08:30:00","BZN|DE-LU","Sequence 1","106.52","",""
"18/03/2025 08:15:00 - 18/03/2025 08:30:00","BZN|DE-LU","Sequence 2","114.0","",""
"18/03/2025 08:30:00 - 18/03/2025 08:45:00","BZN|DE-LU","Sequence 1","106.52","",""
"18/03/2025 08:30:00 - 18/03/2025 08:45:00","BZN|DE-LU","Sequence 2","89.0","",""
"18/03/2025 08:45:00 - 18/03/2025 09:00:00","BZN|DE-LU","Sequence 1","106.52","",""
"18/03/2025 08:45:00 - 18/03/2025 09:00:00","BZN|DE-LU","Sequence 2","53.96","",""
"18/03/2025 09:00:00 - 18/03/2025 09:15:00","BZN|DE-LU","Sequence 1","71.53","",""
"18/03/2025 09:00:00 - 18/03/2025 09:15:00","BZN|DE-LU","Sequence 2","124.93","",""
"18/03/2025 09:15:00 - 18/03/2025 09:30:00","BZN|DE-LU","Sequence 1","71.53","",""
"18/03/2025 09:15:00 - 18/03/2025 09:30:00","BZN|DE-LU","Sequence 2","85.7","",""
"18/03/2025 09:30:00 - 18/03/2025 09:45:00","BZN|DE-LU","Sequence 1","71.53","",""
"18/03/2025 09:30:00 - 18/03/2025 09:45:00","BZN|DE-LU","Sequence 2","51.74","",""
"18/03/2025 09:45:00 - 18/03/2025 10:00:00","BZN|DE-LU","Sequence 1","71.53","",""
"18/03/2025 09:45:00 - 18/03/2025 10:00:00","BZN|DE-LU","Sequence 2","-4.93","",""
"18/03/2025 10:00:00 - 18/03/2025 10:15:00","BZN|DE-LU","Sequence 1","25.27","",""
"18/03/2025 10:00:00 - 18/03/2025 10:15:00","BZN|DE-LU","Sequence 2","79.6","",""
"18/03/2025 10:15:00 - 18/03/2025 10:30:00","BZN|DE-LU","Sequence 1","25.27","",""
"18/03/2025 10:15:00 - 18/03/2025 10:30:00","BZN|DE-LU","Sequence 2","30.09","",""
"18/03/2025 10:30:00 - 18/03/2025 10:45:00","BZN|DE-LU","Sequence 1","25.27","",""
"18/03/2025 10:30:00 - 18/03/2025 10:45:00","BZN|DE-LU","Sequence 2","15.01","",""
"18/03/2025 10:45:00 - 18/03/2025 11:00:00","BZN|DE-LU","Sequence 1","25.27","",""
"18/03/2025 10:45:00 - 18/03/2025 11:00:00","BZN|DE-LU","Sequence 2","-58.01","",""
"18/03/2025 11:00:00 - 18/03/2025 11:15:00","BZN|DE-LU","Sequence 1","0.68","",""
"18/03/2025 11:00:00 - 18/03/2025 11:15:00","BZN|DE-LU","Sequence 2","35.68","",""
"18/03/2025 11:15:00 - 18/03/2025 11:30:00","BZN|DE-LU","Sequence 1","0.68","",""
"18/03/2025 11:15:00 - 18/03/2025 11:30:00","BZN|DE-LU","Sequence 2","15.04","",""
"18/03/2025 11:30:00 - 18/03/2025 11:45:00","BZN|DE-LU","Sequence 1","0.68","",""
"18/03/2025 11:30:00 - 18/03/2025 11:45:00","BZN|DE-LU","Sequence 2","-14.92","",""
"18/03/2025 11:45:00 - 18/03/2025 12:00:00","BZN|DE-LU","Sequence 1","0.68","",""
"18/03/2025 11:45:00 - 18/03/2025 12:00:00","BZN|DE-LU","Sequence 2","-19.94","",""
"18/03/2025 12:00:00 - 18/03/2025 12:15:00","BZN|DE-LU","Sequence 1","-1.46","",""
"18/03/2025 12:00:00 - 18/03/2025 12:15:00","BZN|DE-LU","Sequence 2","2.82","",""
"18/03/2025 12:15:00 - 18/03/2025 12:30:00","BZN|DE-LU","Sequence 1","-1.46","",""
"18/03/2025 12:15:00 - 18/03/2025 12:30:00","BZN|DE-LU","Sequence 2","-14.93","",""
"18/03/2025 12:30:00 - 18/03/2025 12:45:00","BZN|DE-LU","Sequence 1","-1.46","",""
"18/03/2025 12:30:00 - 18/03/2025 12:45:00","BZN|DE-LU","Sequence 2","5.01","",""
"18/03/2025 12:45:00 - 18/03/2025 13:00:00","BZN|DE-LU","Sequence 1","-1.46","",""
"18/03/2025 12:45:00 - 18/03/2025 13:00:00","BZN|DE-LU","Sequence 2","3.5","",""
"18/03/2025 13:00:00 - 18/03/2025 13:15:00","BZN|DE-LU","Sequence 1","-0.3","",""
"18/03/2025 13:00:00 - 18/03/2025 13:15:00","BZN|DE-LU","Sequence 2","-22.68","",""
"18/03/2025 13:15:00 - 18/03/2025 13:30:00","BZN|DE-LU","Sequence 1","-0.3","",""
"18/03/2025 13:15:00 - 18/03/2025 13:30:00","BZN|DE-LU","Sequence 2","0.01","",""
"18/03/2025 13:30:00 - 18/03/2025 13:45:00","BZN|DE-LU","Sequence 1","-0.3","",""
"18/03/2025 13:30:00 - 18/03/2025 13:45:00","BZN|DE-LU","Sequence 2","10.02","",""
"18/03/2025 13:45:00 - 18/03/2025 14:00:00","BZN|DE-LU","Sequence 1","-0.3","",""
"18/03/2025 13:45:00 - 18/03/2025 14:00:00","BZN|DE-LU","Sequence 2","20.02","",""
"18/03/2025 14:00:00 - 18/03/2025 14:15:00","BZN|DE-LU","Sequence 1","5.72","",""
"18/03/2025 14:00:00 - 18/03/2025 14:15:00","BZN|DE-LU","Sequence 2","-29.94","",""
"18/03/2025 14:15:00 - 18/03/2025 14:30:00","BZN|DE-LU","Sequence 1","5.72","",""
"18/03/2025 14:15:00 - 18/03/2025 14:30:00","BZN|DE-LU","Sequence 2","5.02","",""
"18/03/2025 14:30:00 - 18/03/2025 14:45:00","BZN|DE-LU","Sequence 1","5.72","",""
"18/03/2025 14:30:00 - 18/03/2025 14:45:00","BZN|DE-LU","Sequence 2","20.04","",""
"18/03/2025 14:45:00 - 18/03/2025 15:00:00","BZN|DE-LU","Sequence 1","5.72","",""
"18/03/2025 14:45:00 - 18/03/2025 15:00:00","BZN|DE-LU","Sequence 2","48.37","",""
"18/03/2025 15:00:00 - 18/03/2025 15:15:00","BZN|DE-LU","Sequence 1","50.28","",""
"18/03/2025 15:00:00 - 18/03/2025 15:15:00","BZN|DE-LU","Sequence 2","0.04","",""
"18/03/2025 15:15:00 - 18/03/2025 15:30:00","BZN|DE-LU","Sequence 1","50.28","",""
"18/03/2025 15:15:00 - 18/03/2025 15:30:00","BZN|DE-LU","Sequence 2","35.66","",""
"18/03/2025 15:30:00 - 18/03/2025 15:45:00","BZN|DE-LU","Sequence 1","50.28","",""
"18/03/2025 15:30:00 - 18/03/2025 15:45:00","BZN|DE-LU","Sequence 2","69.4","",""
"18/03/2025 15:45:00 - 18/03/2025 16:00:00","BZN|DE-LU","Sequence 1","50.28","",""
"18/03/2025 15:45:00 - 18/03/2025 16:00:00","BZN|DE-LU","Sequence 2","96.1","",""
"18/03/2025 16:00:00 - 18/03/2025 16:15:00","BZN|DE-LU","Sequence 1","95.94","",""
"18/03/2025 16:00:00 - 18/03/2025 16:15:00","BZN|DE-LU","Sequence 2","12.18","",""
"18/03/2025 16:15:00 - 18/03/2025 16:30:00","BZN|DE-LU","Sequence 1","95.94","",""
"18/03/2025 16:15:00 - 18/03/2025 16:30:00","BZN|DE-LU","Sequence 2","81.9","",""
"18/03/2025 16:30:00 - 18/03/2025 16:45:00","BZN|DE-LU","Sequence 1","95.94","",""
"18/03/2025 16:30:00 - 18/03/2025 16:45:00","BZN|DE-LU","Sequence 2","115.2","",""
"18/03/2025 16:45:00 - 18/03/2025 17:00:00","BZN|DE-LU","Sequence 1","95.94","",""
"18/03/2025 16:45:00 - 18/03/2025 17:00:00","BZN|DE-LU","Sequence 2","169.92","",""
"18/03/2025 17:00:00 - 18/03/2025 17:15:00","BZN|DE-LU","Sequence 1","140.9","",""
"18/03/2025 17:00:00 - 18/03/2025 17:15:00","BZN|DE-LU","Sequence 2","58.7","",""
"18/03/2025 17:15:00 - 18/03/2025 17:30:00","BZN|DE-LU","Sequence 1","140.9","",""
"18/03/2025 17:15:00 - 18/03/2025 17:30:00","BZN|DE-LU","Sequence 2","108.7","",""
"18/03/2025 17:30:00 - 18/03/2025 17:45:00","BZN|DE-LU","Sequence 1","140.9","",""
"18/03/2025 17:30:00 - 18/03/2025 17:45:00","BZN|DE-LU","Sequence 2","155.6","",""
"18/03/2025 17:45:00 - 18/03/2025 18:00:00","BZN|DE-LU","Sequence 1","140.9","",""
"18/03/2025 17:45:00 - 18/03/2025 18:00:00","BZN|DE-LU","Sequence 2","246.58","",""
"18/03/2025 18:00:00 - 18/03/2025 18:15:00","BZN|DE-LU","Sequence 1","170.91","",""
"18/03/2025 18:00:00 - 18/03/2025 18:15:00","BZN|DE-LU","Sequence 2","130.03","",""
"18/03/2025 18:15:00 - 18/03/2025 18:30:00","BZN|DE-LU","Sequence 1","170.91","",""
"18/03/2025 18:15:00 - 18/03/2025 18:30:00","BZN|DE-LU","Sequence 2","166.55","",""
"18/03/2025 18:30:00 - 18/03/2025 18:45:00","BZN|DE-LU","Sequence 1","170.91","",""
"18/03/2025 18:30:00 - 18/03/2025 18:45:00","BZN|DE-LU","Sequence 2","179.96","",""
"18/03/2025 18:45:00 - 18/03/2025 19:00:00","BZN|DE-LU","Sequence 1","170.91","",""
"18/03/2025 18:45:00 - 18/03/2025 19:00:00","BZN|DE-LU","Sequence 2","203.9","",""
"18/03/2025 19:00:00 - 18/03/2025 19:15:00","BZN|DE-LU","Sequence 1","167.46","",""
"18/03/2025 19:00:00 - 18/03/2025 19:15:00","BZN|DE-LU","Sequence 2","211.1","",""
"18/03/2025 19:15:00 - 18/03/2025 19:30:00","BZN|DE-LU","Sequence 1","167.46","",""
"18/03/2025 19:15:00 - 18/03/2025 19:30:00","BZN|DE-LU","Sequence 2","164.3","",""
"18/03/2025 19:30:00 - 18/03/2025 19:45:00","BZN|DE-LU","Sequence 1","167.46","",""
"18/03/2025 19:30:00 - 18/03/2025 19:45:00","BZN|DE-LU","Sequence 2","153.64","",""
"18/03/2025 19:45:00 - 18/03/2025 20:00:00","BZN|DE-LU","Sequence 1","167.46","",""
"18/03/2025 19:45:00 - 18/03/2025 20:00:00","BZN|DE-LU","Sequence 2","154.95","",""
"18/03/2025 20:00:00 - 18/03/2025 20:15:00","BZN|DE-LU","Sequence 1","142.39","",""
"18/03/2025 20:00:00 - 18/03/2025 20:15:00","BZN|DE-LU","Sequence 2","194.3","",""
"18/03/2025 20:15:00 - 18/03/2025 20:30:00","BZN|DE-LU","Sequence 1","142.39","",""
"18/03/2025 20:15:00 - 18/03/2025 20:30:00","BZN|DE-LU","Sequence 2","147.0","",""
"18/03/2025 20:30:00 - 18/03/2025 20:45:00","BZN|DE-LU","Sequence 1","142.39","",""
"18/03/2025 20:30:00 - 18/03/2025 20:45:00","BZN|DE-LU","Sequence 2","128.1","",""
"18/03/2025 20:45:00 - 18/03/2025 21:00:00","BZN|DE-LU","Sequence 1","142.39","",""
"18/03/2025 20:45:00 - 18/03/2025 21:00:00","BZN|DE-LU","Sequence 2","112.6","",""
"18/03/2025 21:00:00 - 18/03/2025 21:15:00","BZN|DE-LU","Sequence 1","123.04","",""
"18/03/2025 21:00:00 - 18/03/2025 21:15:00","BZN|DE-LU","Sequence 2","140.3","",""
"18/03/2025 21:15:00 - 18/03/2025 21:30:00","BZN|DE-LU","Sequence 1","123.04","",""
"18/03/2025 21:15:00 - 18/03/2025 21:30:00","BZN|DE-LU","Sequence 2","131.0","",""
"18/03/2025 21:30:00 - 18/03/2025 21:45:00","BZN|DE-LU","Sequence 1","123.04","",""
"18/03/2025 21:30:00 - 18/03/2025 21:45:00","BZN|DE-LU","Sequence 2","117.4","",""
"18/03/2025 21:45:00 - 18/03/2025 22:00:00","BZN|DE-LU","Sequence 1","123.04","",""
"18/03/2025 21:45:00 - 18/03/2025 22:00:00","BZN|DE-LU","Sequence 2","100.51","",""
"18/03/2025 22:00:00 - 18/03/2025 22:15:00","BZN|DE-LU","Sequence 1","115.97","",""
"18/03/2025 22:00:00 - 18/03/2025 22:15:00","BZN|DE-LU","Sequence 2","127.73","",""
"18/03/2025 22:15:00 - 18/03/2025 22:30:00","BZN|DE-LU","Sequence 1","115.97","",""
"18/03/2025 22:15:00 - 18/03/2025 22:30:00","BZN|DE-LU","Sequence 2","119.9","",""
"18/03/2025 22:30:00 - 18/03/2025 22:45:00","BZN|DE-LU","Sequence 1","115.97","",""
"18/03/2025 22:30:00 - 18/03/2025 22:45:00","BZN|DE-LU","Sequence 2","111.3","",""
"18/03/2025 22:45:00 - 18/03/2025 23:00:00","BZN|DE-LU","Sequence 1","115.97","",""
"18/03/2025 22:45:00 - 18/03/2025 23:00:00","BZN|DE-LU","Sequence 2","98.9","",""
"18/03/2025 23:00:00 - 18/03/2025 23:15:00","BZN|DE-LU","Sequence 1","103.29","",""
"18/03/2025 23:00:00 - 18/03/2025 23:15:00","BZN|DE-LU","Sequence 2","115.2","",""
"18/03/2025 23:15:00 - 18/03/2025 23:30:00","BZN|DE-LU","Sequence 1","103.29","",""
"18/03/2025 23:15:00 - 18/03/2025 23:30:00","BZN|DE-LU","Sequence 2","102.9","",""
"18/03/2025 23:30:00 - 18/03/2025 23:45:00","BZN|DE-LU","Sequence 1","103.29","",""
"18/03/2025 23:30:00 - 18/03/2025 23:45:00","BZN|DE-LU","Sequence 2","101.73","",""
"18/03/2025 23:45:00 - 19/03/2025 00:00:00","BZN|DE-LU","Sequence 1","103.29","",""
"18/03/2025 23:45:00 - 19/03/2025 00:00:00","BZN|DE-LU","Sequence 2","92.0","",""
